source,target,similarity,source_country,target_country
Share it - Tech for ,The Luxembourg Mind,0.7593208362338691,FR,LU
Share it - Tech for ,Kulturministère - Mi,0.7784732512361381,FR,LU
Share it - Tech for ,Deep Dive Culture,0.7784131794030971,FR,LU
Share it - Tech for ,Philharmonie Luxembo,0.7936649230813833,FR,LU
Share it - Tech for ,ablan star bebegim,0.771656448720107,FR,HU
Share it - Tech for ,Magyar Zene,0.814408381301746,FR,HU
Share it - Tech for ,Magyar Krónikák,0.9163925626046051,FR,HU
Share it - Tech for ,Anna Luxembourg,0.8179665316128552,FR,LU
Share it - Tech for ,The Little Gym Luxem,0.8089584220353108,FR,LU
Share it - Tech for ,Magyar gamer,0.7710703634012969,FR,HU
Business France,Premiers Secours en ,0.814876929518478,FR,FR
Business France,Daily French Voyage,0.8057662134998264,FR,FR
Business France,Tamanna’s Kitchen & ,0.7601383096604001,FR,FR
Business France Nort,Magyar Pedagógiai Tá,0.9120094150194274,FR,HU
Business France Nort,The Luxembourg Mind,0.7644041897550728,FR,LU
Business France Nort,Kulturministère - Mi,0.8124737444706988,FR,LU
Business France Nort,DEFI - La Mode de Fr,0.9745205125158579,FR,FR
Business France Nort,Vegan Fighter France,0.8285281266085557,FR,FR
Business France Nort,91. perc podcast,0.8116102209389278,FR,HU
Business France Nort,Lux Podcast,0.7766696695215853,FR,LU
Business France Nort,FJU Luxembourg,0.8498687646121762,FR,LU
Business France Nort,Anna Luxembourg,0.769851242732035,FR,LU
Business France Nort,The Little Gym Luxem,0.8882675887708247,FR,LU
Business France UK &,Village by CA Centre,0.7940513247134159,FR,FR
Business France UK &,Startup Leadership P,0.7997133320842773,FR,FR
Business France UK &,France Assos Santé I,0.852603782672166,FR,FR
Business France UK &,The Luxembourg Mind,0.8272677485693943,FR,LU
Business France UK &,Deep Dive Culture,0.8569719755950055,FR,LU
Business France UK &,Philharmonie Luxembo,0.8692324597695255,FR,LU
Business France UK &,Magyar Krónikák,0.8886407380417773,FR,HU
Business France UK &,The Little Gym Luxem,0.815924639848569,FR,LU
Business France UK &,MediNation Luxembour,0.8195740586706483,FR,LU
Dimz - French entrep,Village by CA Centre,0.7699152411980811,FR,FR
Dimz - French entrep,CityNews Luxembourg,0.8051232161414056,FR,LU
Dimz - French entrep,Lr health and Beauty,0.8938130789620065,FR,FR
Dimz - French entrep,French Quarter Podca,0.8707089458759277,FR,FR
Dimz - French entrep,Healthcare Week Luxe,0.8231672347025513,FR,LU
Startup Bootcamp Fra,Culture de France,0.8953070562357068,FR,FR
Startup Bootcamp Fra,Research Luxembourg,0.8578551731631502,FR,LU
Startup Bootcamp Fra,Jahanara lifestyle f,0.8084818210876029,FR,FR
Startup Bootcamp Fra,Magyar E-sport Szöve,0.8495528350398449,FR,HU
Startup Bootcamp Fra,Magyar Funkcionális ,0.7617757982504845,FR,HU
Startup Bootcamp Fra,12 Tone Music,0.7582578858889729,FR,HU
Startup Bootcamp Fra,Magyar Zene Nyaralój,0.8519065848437999,FR,HU
Startup Bootcamp Fra,"Trader Rock - Forex,",0.8337862149103503,FR,HU
Startup Bootcamp Fra,Chaos Boys Hungary -,0.756221272079266,FR,HU
Startup Bootcamp Fra,Trove Film Collectiv,0.8532038377291247,FR,HU
Startup Bootcamp Fra,Hungarian Mirror,0.8325374498703768,FR,HU
Startup Bootcamp Fra,Choeur de Chambre de,0.8585543478393604,FR,LU
Startup Bootcamp Fra,Chill mam Will,0.7844241200740505,FR,LU
Startup Bootcamp Fra,Powerlifting & Weigh,0.7778358740159292,FR,LU
Startup Bootcamp Fra,CMCM Luxembourg,0.7826213172561818,FR,LU
Startup Bootcamp Fra,Le Recap Twitch,0.7782683925374431,FR,FR
Village by CA Centre,Startup Leadership P,0.8580299221320767,FR,FR
Village by CA Centre,France Assos Santé I,0.8869926098316177,FR,FR
Village by CA Centre,The Luxembourg Mind,0.8561498471381592,FR,LU
