,channel_name,subscribers,engagement_rate,channel_heat_index
85,Business France UK & Ireland,78,114.873417721519,0.1110058348210044
86,France Assos Santé ILE-DE-FRANCE,78,62.48101265822785,0.1107164772204032
87,French Quarter Podcast,76,20.493506493506494,0.1098354501318382
88,Lr health and Beauty France 🇫🇷,66,27.82089552238806,0.1063620305325053
89,Village by CA Centre France,59,66.56666666666666,0.1037892983454566
90,Dimz - French entrepreneuriat,53,26.074074074074073,0.1009037395956649
91,French vlogger Zhorna,47,557.5208333333334,0.1008730761856323
92,France-Tech,38,821.5384615384615,0.0970907208391616
93,Musique France,27,458.8928571428572,0.0867128756320233
94,Ricch Rock France,23,806.875,0.0847474277437871
95,POV VLOGGER ,19,1038.0,0.0814179065578576
96,Bangali meye in French lifestyle ,7,920.5,0.0576232457561957
97,Santé Optimale France,3,146.25,0.0358266860593074
